nama file,width (px),height (px),total area (px)
ZoneA_001.jpg,1706.4,1358.5,1034114
ZoneA_002.jpg,1704.4,1430.5,1064391
ZoneA_003.jpg,1260.6,1009.3,568007
ZoneA_004.jpg,1288.5,1029.1,579607
ZoneA_005.jpg,948.8,802.8,363880
ZoneA_006.jpg,966.3,808.3,368546
ZoneA_007.jpg,1633.4,1286.0,1212612
ZoneA_008.jpg,1714.9,1344.8,1282954
ZoneA_009.jpg,1104.0,907.4,598887
ZoneA_010.jpg,1146.2,905.8,618636
ZoneA_011.jpg,873.2,732.6,402869
ZoneA_012.jpg,878.5,734.0,408468
ZoneA_013.jpg,1294.9,1231.8,811245
ZoneA_014.jpg,1312.2,1264.1,839981
ZoneA_015.jpg,967.5,952.3,487298
ZoneA_016.jpg,996.5,966.8,503177
ZoneA_017.jpg,793.4,771.8,334495
ZoneA_018.jpg,788.7,776.3,335235
ZoneA_019.jpg,1822.6,1822.5,1941165
ZoneA_020.jpg,1868.0,1861.0,2050618
ZoneA_021.jpg,1349.6,1309.5,1109199
ZoneA_022.jpg,1347.2,1322.0,1096909
ZoneA_023.jpg,1083.9,1067.7,739824
ZoneA_024.jpg,1072.9,1049.5,752598
ZoneA_025.jpg,2333.3,1190.0,1561470
ZoneA_026.jpg,2285.7,1219.6,1616641
ZoneA_027.jpg,1857.6,952.9,1028332
ZoneA_028.jpg,1920.7,987.8,1077762
ZoneA_029.jpg,1621.2,876.4,753454
ZoneA_030.jpg,1509.0,957.6,771706
ZoneA_031.jpg,1665.2,1470.8,1530152
ZoneA_032.jpg,1600.2,1410.8,1395676
ZoneA_033.jpg,1305.2,1131.0,955388
ZoneA_034.jpg,1315.4,1141.8,980113
ZoneA_035.jpg,1044.7,927.8,558218
ZoneA_036.jpg,1048.4,921.4,571043
ZoneA_037.jpg,1957.2,1684.3,1855907
ZoneA_038.jpg,1964.0,1707.3,1887776
ZoneA_039.jpg,1457.8,1261.8,1009511
ZoneA_040.jpg,1443.5,1315.3,1039365
ZoneA_041.jpg,1234.2,939.6,659286
ZoneA_042.jpg,1122.7,1036.6,652061
ZoneA_043.jpg,2311.3,1600.2,1863515
ZoneA_044.jpg,2369.0,1627.1,1945323
ZoneA_045.jpg,1651.6,1099.5,971284
ZoneA_046.jpg,1685.3,1139.3,992293
ZoneA_047.jpg,1357.6,908.9,660558
ZoneA_048.jpg,1377.0,908.5,676807
ZoneA_049.jpg,2185.3,2120.6,2734586
ZoneA_050.jpg,2212.9,2141.4,2858853
ZoneA_051.jpg,1836.0,1379.1,1445463
ZoneA_052.jpg,1601.6,1581.6,1441064
ZoneA_053.jpg,1358.6,1221.5,1030615
ZoneA_054.jpg,1375.8,1218.1,1013942
ZoneA_055.jpg,2425.4,1626.0,2135840
ZoneA_056.jpg,2427.4,1631.5,2195219
ZoneA_057.jpg,1752.6,1178.1,1157140
ZoneA_058.jpg,1690.3,1276.7,1203916
ZoneA_059.jpg,1419.1,1051.8,836353
ZoneA_060.jpg,1448.3,1050.7,842556
ZoneA_061.jpg,1932.8,1134.4,1109087
ZoneA_062.jpg,1980.4,1161.9,1150323
ZoneA_063.jpg,1439.7,866.5,637785
ZoneA_064.jpg,1445.0,895.0,668212
ZoneA_065.jpg,1138.0,684.0,410561
ZoneA_066.jpg,1131.0,690.0,421848
ZoneA_067.jpg,1327.3,1078.1,869707
ZoneA_068.jpg,1335.4,1090.8,874862
ZoneA_069.jpg,1021.6,828.5,524762
ZoneA_070.jpg,1026.2,838.3,547047
ZoneA_071.jpg,813.9,675.3,355149
ZoneA_072.jpg,837.1,695.9,370256
ZoneA_073.jpg,2006.4,1342.4,1614499
ZoneA_074.jpg,1900.1,1368.6,1719526
ZoneA_075.jpg,1887.8,1082.2,961934
ZoneA_076.jpg,1850.8,1073.5,986365
ZoneA_077.jpg,1567.9,925.5,596177
ZoneA_078.jpg,1574.6,948.8,580896
ZoneA_079.jpg,1811.8,1631.3,973785
ZoneA_080.jpg,1881.5,1698.3,1057040
ZoneA_081.jpg,1485.2,1342.7,697035
ZoneA_082.jpg,1496.0,1372.8,719942
ZoneA_083.jpg,1140.2,1045.8,471809
ZoneA_084.jpg,1154.9,1053.8,477921
ZoneA_085.jpg,2374.2,2306.9,2980478
ZoneA_086.jpg,2405.9,2376.6,3144972
ZoneA_087.jpg,1888.3,1777.5,1719901
ZoneA_088.jpg,1860.3,1722.4,1669786
ZoneA_089.jpg,1487.1,1349.3,1085152
ZoneA_090.jpg,1481.1,1391.9,1089903
ZoneA_091.jpg,1654.7,1365.4,1409275
ZoneA_092.jpg,1711.4,1384.1,1497069
ZoneA_093.jpg,1230.6,1017.8,765847
ZoneA_094.jpg,1251.0,1040.1,788593
ZoneA_095.jpg,995.6,821.6,505115
ZoneA_096.jpg,1017.6,829.6,503406
ZoneA_097.jpg,1580.8,1092.7,981364
ZoneA_098.jpg,1594.1,1119.3,1034783
ZoneA_099.jpg,1121.9,815.2,517704
ZoneA_100.jpg,1182.4,822.8,554420
ZoneA_101.jpg,893.3,624.5,323052
ZoneA_102.jpg,902.6,636.7,327758
ZoneA_103.jpg,1896.3,1828.9,1596938
ZoneA_104.jpg,1902.8,1878.6,1626596
ZoneA_105.jpg,1435.2,1415.3,938568
ZoneA_106.jpg,1443.8,1443.0,961117
ZoneA_107.jpg,1288.1,1023.3,630726
ZoneA_108.jpg,1154.8,1135.4,635160
ZoneA_109.jpg,1781.1,1270.4,1076420
ZoneA_110.jpg,1830.8,1294.7,1119918
ZoneA_111.jpg,1353.7,972.6,634891
ZoneA_112.jpg,1392.7,982.6,648869
ZoneA_113.jpg,1136.2,794.8,459443
ZoneA_114.jpg,1135.8,804.5,458950
ZoneA_115.jpg,2266.9,1809.1,2079847
ZoneA_116.jpg,2275.3,1788.7,2030243
ZoneA_117.jpg,1700.4,1357.7,1195613
ZoneA_118.jpg,1733.1,1396.4,1254028
ZoneA_119.jpg,1368.4,1124.3,835840
ZoneA_120.jpg,1386.0,1117.5,837190
ZoneA_121.jpg,2073.2,989.4,700110
ZoneA_122.jpg,2041.3,1015.5,697696
ZoneA_123.jpg,1529.0,767.0,420748
ZoneA_124.jpg,1560.0,767.0,422133
ZoneA_125.jpg,1279.0,600.0,329662
ZoneA_126.jpg,1254.0,601.0,320439
ZoneA_127.jpg,2412.0,1561.0,1614830
ZoneA_128.jpg,2386.0,1515.0,1578278
ZoneA_129.jpg,1711.9,1287.5,955559
ZoneA_130.jpg,1713.5,1238.5,944854
ZoneA_131.jpg,1604.6,945.4,684896
ZoneA_132.jpg,1505.0,1008.2,692260
ZoneA_133.jpg,2571.7,1290.3,1022286
ZoneA_134.jpg,2571.7,1258.1,1009334
ZoneA_135.jpg,1848.4,931.2,553852
ZoneA_136.jpg,1896.7,961.3,580672
ZoneA_137.jpg,1527.3,760.6,377305
ZoneA_138.jpg,1530.1,783.5,381206
ZoneA_139.jpg,2112.1,1552.0,1286180
ZoneA_140.jpg,2171.7,1590.7,1317873
ZoneA_141.jpg,1653.3,1201.3,786617
ZoneA_142.jpg,1691.9,1243.7,827593
ZoneA_143.jpg,1282.3,942.9,519725
ZoneA_144.jpg,1277.1,985.4,529553
ZoneA_145.jpg,2189.3,1673.9,1759907
ZoneA_146.jpg,2240.4,1721.2,1857559
ZoneA_147.jpg,1734.8,1315.9,1128121
ZoneA_148.jpg,1744.3,1354.1,1152178
ZoneA_149.jpg,1323.4,1011.5,684002
ZoneA_150.jpg,1311.0,1029.8,697471
ZoneA_151.jpg,2253.7,1014.5,1086246
ZoneA_152.jpg,2246.3,1008.0,1111561
ZoneA_153.jpg,1701.0,754.0,644618
ZoneA_154.jpg,1747.9,804.8,668003
ZoneA_155.jpg,1433.0,664.0,464137
ZoneA_156.jpg,1462.1,654.5,478697
ZoneA_157.jpg,1513.3,1470.8,1123842
ZoneA_158.jpg,1516.5,1509.5,1158111
ZoneA_159.jpg,1108.3,1102.2,639580
ZoneA_160.jpg,1126.2,1109.3,645893
ZoneA_161.jpg,902.7,898.4,423244
ZoneA_162.jpg,913.9,906.9,431060
ZoneA_163.jpg,1545.3,1462.6,1301134
ZoneA_164.jpg,1592.5,1506.9,1378138
ZoneA_165.jpg,1172.6,1138.4,763535
ZoneA_166.jpg,1194.4,1127.1,772781
ZoneA_167.jpg,987.0,911.4,527940
ZoneA_168.jpg,992.5,927.9,533351
ZoneA_169.jpg,1667.2,1614.1,1618353
ZoneA_170.jpg,1688.0,1643.5,1665321
ZoneA_171.jpg,1290.8,1245.6,988504
ZoneA_172.jpg,1333.7,1274.0,1034467
ZoneA_173.jpg,1064.6,1052.5,702642
ZoneA_174.jpg,1083.5,1058.4,716586
ZoneA_175.jpg,1811.8,1806.7,1975073
ZoneA_176.jpg,1953.8,1714.3,2037951
ZoneA_177.jpg,1493.7,1308.5,1235117
ZoneA_178.jpg,1545.3,1344.7,1290786
ZoneA_179.jpg,1204.8,1057.7,828403
ZoneA_180.jpg,1198.0,1072.7,834217
ZoneA_181.jpg,2108.6,1552.7,1509157
ZoneA_182.jpg,2182.6,1524.9,1514832
ZoneA_183.jpg,1700.1,1186.4,929819
ZoneA_184.jpg,1688.1,1204.4,943727
ZoneA_185.jpg,1333.7,919.0,603121
ZoneA_186.jpg,1343.3,936.9,611313
