image_file;object_id;bbox_x;bbox_y;bbox_width_px;bbox_height_px;area_cm2;panjang_cm;lebar_cm;jarak_kamera_cm;ketebalan_cm;volume_cm3;aspect_ratio;perimeter_cm;solidity;compactness;berat_kering_gram;Ground_Truth_gram;Pred_Random_Forest_gram;Pred_Xgboost_gram;Pred_Gbdt_gram;Pred_Catboost_gram;Pred_CNN_gram;Pred_LSTM_gram;Pred_Transformer_gram;AE_Random_Forest_gram;SE_Random_Forest_gram2;APE_Random_Forest_percent;AE_Xgboost_gram;SE_Xgboost_gram2;APE_Xgboost_percent;AE_Gbdt_gram;SE_Gbdt_gram2;APE_Gbdt_percent;AE_Catboost_gram;SE_Catboost_gram2;APE_Catboost_percent;AE_CNN_gram;SE_CNN_gram2;APE_CNN_percent;AE_LSTM_gram;SE_LSTM_gram2;APE_LSTM_percent;AE_Transformer_gram;SE_Transformer_gram2;APE_Transformer_percent
ZoneA_001.jpg;0;1114;1344;1446;1709;62.98;11.02;13.66;22.99;2.3;144.79;0.807;95.27;0.55;11.469;2.0;2.0;2.18;2.0;2.0;2.04;2.92;2.56;2.44;0.18;0.03;9.0;0.0;0.0;0.04;0.0;0.0;0.08;0.04;0.0;1.78;0.92;0.84;45.81;0.56;0.32;28.12;0.44;0.19;22.0
ZoneA_002.jpg;0;1062;1318;1511;1741;63.7;11.42;13.79;22.79;2.28;145.17;0.828;96.97;0.537;11.747;2.0;2.0;2.18;2.0;2.0;2.02;2.94;2.56;2.18;0.19;0.03;9.25;0.0;0.0;0.01;0.0;0.0;0.02;0.02;0.0;1.14;0.94;0.88;46.96;0.56;0.32;28.12;0.18;0.03;9.05
ZoneA_003.jpg;0;1165;1728;1088;1280;41.76;9.11;11.24;25.26;2.53;105.49;0.811;72.6;0.551;10.043;2.0;2.0;2.04;2.04;2.08;2.1;2.7;2.56;2.64;0.04;0.0;1.75;0.04;0.0;2.17;0.08;0.01;3.93;0.1;0.01;4.89;0.7;0.49;34.89;0.56;0.32;28.12;0.64;0.41;31.99
ZoneA_004.jpg;0;1165;1702;1126;1306;41.81;9.34;11.36;25.02;2.5;104.6;0.822;74.53;0.536;10.572;2.0;2.0;2.04;2.0;2.0;2.03;2.66;2.56;2.47;0.04;0.0;1.75;0.0;0.0;0.19;0.0;0.0;0.07;0.03;0.0;1.65;0.66;0.44;32.99;0.56;0.32;28.12;0.47;0.22;23.52
ZoneA_005.jpg;0;1190;1267;871;979;32.43;8.03;9.46;27.81;2.78;90.18;0.848;57.17;0.586;8.022;2.0;2.0;2.0;2.0;2.0;1.99;2.21;2.56;1.85;0.0;0.0;0.0;0.0;0.0;0.04;0.0;0.0;0.05;0.01;0.0;0.48;0.21;0.05;10.74;0.56;0.32;28.12;0.15;0.02;7.6
ZoneA_006.jpg;0;1165;1242;857;998;32.77;7.89;9.64;27.78;2.78;91.04;0.819;58.68;0.593;8.36;2.0;2.0;2.06;2.0;2.0;2.01;2.26;2.56;1.85;0.06;0.0;2.75;0.0;0.0;0.01;0.0;0.0;0.06;0.01;0.0;0.62;0.26;0.07;13.1;0.56;0.32;28.12;0.15;0.02;7.58
ZoneA_007.jpg;0;1242;1498;1369;1612;76.44;10.61;13.11;23.39;2.34;178.8;0.81;73.95;0.728;5.694;1.0;1.0;1.3;1.0;1.0;1.03;2.7;2.56;2.12;0.29;0.09;29.5;0.0;0.0;0.5;0.0;0.0;0.09;0.03;0.0;2.51;1.7;2.87;169.55;1.56;2.44;156.24;1.12;1.26;112.41
ZoneA_008.jpg;0;1165;1446;1459;1690;78.2;11.12;13.51;23.0;2.3;179.87;0.823;76.19;0.712;5.907;1.0;1.0;1.38;1.0;1.0;1.01;2.71;2.56;2.09;0.38;0.14;37.5;0.0;0.0;0.26;0.0;0.0;0.05;0.01;0.0;1.0;1.71;2.93;171.2;1.56;2.44;156.24;1.09;1.18;108.61
ZoneA_009.jpg;0;1293;1446;953;1088;49.27;8.44;10.1;26.72;2.67;131.65;0.835;52.57;0.762;4.464;1.0;1.0;1.64;1.0;1.0;1.06;2.11;2.56;1.74;0.64;0.41;64.0;0.0;0.0;0.22;0.0;0.0;0.09;0.06;0.0;6.4;1.11;1.22;110.61;1.56;2.44;156.24;0.74;0.55;73.96
ZoneA_010.jpg;0;1242;1446;953;1127;50.13;8.38;10.39;26.52;2.65;132.96;0.806;53.09;0.752;4.474;1.0;1.0;1.82;1.15;1.69;1.62;2.05;2.56;1.77;0.82;0.67;82.0;0.15;0.02;15.17;0.69;0.48;69.01;0.62;0.39;62.34;1.05;1.1;104.99;1.56;2.44;156.24;0.77;0.6;77.38
ZoneA_011.jpg;0;1242;1446;768;858;40.15;7.49;8.77;29.41;2.94;118.09;0.854;42.0;0.795;3.496;1.0;1.0;1.14;1.0;1.0;1.01;1.44;2.56;1.07;0.14;0.02;14.0;0.0;0.0;0.01;0.0;0.0;0.04;0.01;0.0;0.77;0.44;0.19;43.93;1.56;2.44;156.24;0.07;0.01;7.14
ZoneA_012.jpg;0;1242;1446;780;858;40.46;7.58;8.74;29.32;2.93;118.63;0.867;42.24;0.794;3.51;1.0;1.0;1.16;1.0;1.0;0.97;1.44;2.56;1.08;0.16;0.03;16.0;0.0;0.0;0.01;0.0;0.0;0.07;0.03;0.0;2.89;0.44;0.19;43.62;1.56;2.44;156.24;0.08;0.01;8.44
ZoneA_013.jpg;0;1242;1037;1555;1222;53.48;12.33;10.16;23.92;2.39;127.93;1.214;62.18;0.663;5.753;1.0;1.0;2.04;1.52;1.28;1.45;2.31;2.56;2.35;1.04;1.09;104.5;0.52;0.27;52.07;0.28;0.08;28.32;0.45;0.2;45.11;1.31;1.73;131.48;1.56;2.44;156.24;1.35;1.83;135.31
ZoneA_014.jpg;0;1242;1011;1568;1248;54.87;12.38;10.33;23.81;2.38;130.65;1.198;64.11;0.663;5.96;1.0;1.0;1.8;1.0;1.0;1.07;2.43;2.56;2.41;0.8;0.63;79.5;0.0;0.0;0.48;0.0;0.0;0.06;0.07;0.01;7.42;1.43;2.04;142.9;1.56;2.44;156.24;1.41;2.0;141.25
ZoneA_015.jpg;0;1395;1165;1159;947;39.1;10.14;8.69;26.39;2.64;103.2;1.167;47.23;0.682;4.539;1.0;1.0;1.42;1.0;1.0;1.01;1.91;2.56;1.72;0.43;0.18;42.5;0.0;0.0;0.1;0.0;0.0;0.07;0.01;0.0;1.4;0.91;0.83;91.01;1.56;2.44;156.24;0.72;0.52;71.94
ZoneA_016.jpg;0;1421;1165;1203;966;39.47;10.4;8.76;26.09;2.61;102.97;1.188;49.85;0.674;5.011;1.0;1.0;1.8;1.12;1.52;1.18;1.93;2.56;1.87;0.8;0.64;80.0;0.12;0.01;12.21;0.52;0.27;51.64;0.18;0.03;18.35;0.93;0.87;93.3;1.56;2.44;156.24;0.87;0.75;86.5
ZoneA_017.jpg;0;1421;1190;973;768;31.39;9.21;7.62;28.54;2.85;89.6;1.208;41.22;0.696;4.308;1.0;1.0;1.13;0.99;1.08;0.99;1.6;2.56;0.95;0.13;0.02;13.0;0.01;0.0;1.46;0.08;0.01;7.96;0.01;0.0;0.77;0.6;0.35;59.52;1.56;2.44;156.24;0.05;0.0;4.97
ZoneA_018.jpg;0;1421;1190;972;768;31.46;9.2;7.62;28.54;2.85;89.8;1.207;41.16;0.7;4.284;1.0;1.0;1.11;1.0;1.0;0.99;1.59;2.56;0.95;0.11;0.01;11.0;0.0;0.0;0.1;0.0;0.0;0.06;0.01;0.0;0.55;0.59;0.35;59.23;1.56;2.44;156.24;0.05;0.0;4.72
ZoneA_019.jpg;0;858;832;1843;1837;108.36;13.45;14.05;22.01;2.2;238.49;0.957;90.89;0.702;6.067;2.0;2.0;3.3;3.86;3.19;3.47;3.24;2.56;3.69;1.3;1.68;64.75;1.86;3.46;93.01;1.19;1.42;59.57;1.47;2.15;73.32;1.24;1.54;62.08;0.56;0.32;28.12;1.69;2.86;84.62
ZoneA_020.jpg;0;832;832;1862;1869;113.64;13.54;14.25;21.93;2.19;249.2;0.95;91.15;0.713;5.818;2.0;2.0;3.26;3.85;3.3;3.6;3.27;2.56;3.96;1.26;1.59;63.0;1.85;3.43;92.6;1.3;1.69;65.04;1.6;2.55;79.77;1.27;1.61;63.39;0.56;0.32;28.12;1.96;3.84;97.92
ZoneA_021.jpg;0;1395;960;1325;1357;74.79;10.63;11.41;24.19;2.42;180.91;0.931;65.59;0.744;4.578;2.0;2.0;2.19;2.0;2.0;2.02;3.21;2.56;2.44;0.19;0.04;9.5;0.0;0.0;0.03;0.0;0.0;0.04;0.02;0.0;0.92;1.21;1.47;60.62;0.56;0.32;28.12;0.44;0.2;22.16
ZoneA_022.jpg;0;1370;986;1382;1324;73.53;11.05;11.1;24.12;2.41;177.36;0.995;65.57;0.732;4.654;2.0;2.0;2.26;2.0;2.0;2.04;3.3;2.56;2.63;0.25;0.07;12.75;0.0;0.0;0.07;0.0;0.0;0.01;0.04;0.0;2.05;1.3;1.69;65.0;0.56;0.32;28.12;0.63;0.4;31.7
ZoneA_023.jpg;0;1498;730;1139;1075;57.14;9.78;9.67;25.89;2.59;147.94;1.01;52.71;0.753;3.87;2.0;2.0;2.17;2.0;2.0;2.01;2.62;2.56;2.55;0.17;0.03;8.5;0.0;0.0;0.03;0.0;0.0;0.04;0.01;0.0;0.33;0.62;0.38;30.84;0.56;0.32;28.12;0.55;0.3;27.5
ZoneA_024.jpg;0;1498;755;1126;1056;58.8;9.72;9.56;26.04;2.6;153.12;1.017;52.16;0.774;3.681;2.0;2.0;2.44;2.0;2.0;2.04;2.91;2.56;2.39;0.44;0.19;22.0;0.0;0.0;0.09;0.0;0.0;0.04;0.04;0.0;1.87;0.91;0.83;45.42;0.56;0.32;28.12;0.39;0.15;19.63
ZoneA_025.jpg;0;858;986;2329;1363;87.08;16.99;10.42;22.0;2.2;191.58;1.63;72.59;0.776;4.815;2.0;2.0;2.38;2.08;2.08;1.96;2.72;2.56;1.9;0.38;0.15;19.25;0.08;0.01;4.06;0.08;0.01;3.79;0.04;0.0;2.21;0.72;0.52;36.08;0.56;0.32;28.12;0.1;0.01;4.94
ZoneA_026.jpg;0;986;986;2291;1395;90.24;16.72;10.67;22.01;2.2;198.62;1.566;75.53;0.776;5.031;2.0;2.0;2.33;2.0;2.0;2.02;2.86;2.56;1.95;0.33;0.11;16.25;0.0;0.0;0.0;0.0;0.0;0.01;0.02;0.0;0.81;0.86;0.73;42.83;0.56;0.32;28.12;0.05;0.0;2.6
ZoneA_027.jpg;0;781;1037;1869;1088;65.16;14.53;8.87;23.45;2.34;152.8;1.638;56.89;0.796;3.952;2.0;2.0;2.2;2.0;2.0;2.04;2.14;2.56;1.98;0.2;0.04;10.0;0.0;0.0;0.09;0.0;0.0;0.02;0.04;0.0;2.23;0.14;0.02;7.01;0.56;0.32;28.12;0.02;0.0;0.86
ZoneA_028.jpg;0;755;986;1946;1139;66.5;14.93;9.16;23.14;2.31;153.87;1.629;59.78;0.784;4.277;2.0;2.0;2.14;2.0;2.0;1.98;2.06;2.56;1.98;0.14;0.02;7.0;0.0;0.0;0.04;0.0;0.0;0.01;0.02;0.0;1.13;0.06;0.0;2.83;0.56;0.32;28.12;0.02;0.0;1.23
ZoneA_029.jpg;0;909;986;1645;998;51.31;13.26;8.43;24.31;2.43;124.73;1.572;57.49;0.738;5.125;2.0;2.0;2.04;2.0;2.0;1.95;2.21;2.56;2.03;0.04;0.0;1.75;0.0;0.0;0.01;0.0;0.0;0.04;0.05;0.0;2.33;0.21;0.04;10.5;0.56;0.32;28.12;0.03;0.0;1.25
ZoneA_030.jpg;0;909;1037;1689;1011;51.82;13.52;8.48;24.14;2.41;125.09;1.593;58.49;0.741;5.254;2.0;2.0;2.04;2.02;2.04;1.89;2.14;2.56;2.04;0.04;0.0;1.75;0.02;0.0;1.04;0.04;0.0;2.22;0.11;0.01;5.61;0.14;0.02;6.8;0.56;0.32;28.12;0.04;0.0;1.79
ZoneA_031.jpg;0;960;806;1984;1741;84.87;14.43;13.28;21.94;2.19;186.21;1.087;79.97;0.726;5.997;2.0;2.0;2.38;2.35;2.03;2.08;2.8;2.56;2.45;0.38;0.15;19.25;0.35;0.12;17.32;0.03;0.0;1.66;0.08;0.01;4.04;0.8;0.64;40.01;0.56;0.32;28.12;0.45;0.2;22.32
ZoneA_032.jpg;0;960;755;1920;1651;79.19;14.12;12.73;22.19;2.22;175.72;1.109;77.51;0.718;6.037;2.0;2.0;2.4;2.27;2.12;1.96;2.82;2.56;2.45;0.4;0.16;20.0;0.27;0.07;13.59;0.12;0.01;5.79;0.04;0.0;1.8;0.82;0.68;41.09;0.56;0.32;28.12;0.45;0.2;22.55
ZoneA_033.jpg;0;1318;1011;1549;1319;61.68;12.15;10.85;23.67;2.37;145.99;1.12;57.65;0.755;4.288;2.0;2.0;2.14;2.0;2.0;2.04;2.54;2.56;2.57;0.14;0.02;7.0;0.0;0.0;0.06;0.0;0.0;0.07;0.04;0.0;2.23;0.54;0.29;27.04;0.56;0.32;28.12;0.57;0.32;28.47
ZoneA_034.jpg;0;1318;1011;1588;1357;62.26;12.36;11.08;23.48;2.35;146.19;1.116;59.88;0.749;4.583;2.0;2.0;2.12;2.0;2.0;1.99;2.6;2.56;2.57;0.12;0.01;5.75;0.0;0.0;0.0;0.0;0.0;0.07;0.01;0.0;0.69;0.6;0.36;30.1;0.56;0.32;28.12;0.57;0.32;28.34
ZoneA_035.jpg;0;986;1190;1043;1236;42.19;8.85;11.0;25.61;2.56;108.04;0.805;51.24;0.688;4.952;2.0;2.0;1.99;2.0;2.0;1.99;2.39;2.56;2.32;0.01;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.06;0.01;0.0;0.28;0.39;0.15;19.56;0.56;0.32;28.12;0.32;0.1;16.1
ZoneA_036.jpg;0;1037;1165;1049;1267;42.65;8.85;11.21;25.46;2.55;108.59;0.79;51.09;0.694;4.87;2.0;2.0;1.94;1.98;1.96;2.09;2.38;2.56;2.38;0.05;0.0;2.75;0.02;0.0;1.07;0.04;0.0;2.25;0.09;0.01;4.69;0.38;0.14;18.89;0.56;0.32;28.12;0.38;0.14;18.92
ZoneA_037.jpg;0;909;1139;1632;2253;100.79;11.75;17.0;21.71;2.17;218.82;0.691;81.36;0.763;5.226;2.0;2.0;2.02;2.0;2.0;1.96;2.03;2.56;1.79;0.02;0.0;0.75;0.0;0.0;0.01;0.0;0.0;0.07;0.04;0.0;1.84;0.03;0.0;1.52;0.56;0.32;28.12;0.21;0.04;10.54
ZoneA_038.jpg;0;934;1114;1632;2278;102.15;11.72;17.16;21.67;2.17;221.35;0.683;82.11;0.759;5.253;2.0;2.0;2.01;2.0;2.0;2.02;2.04;2.56;1.87;0.01;0.0;0.5;0.0;0.0;0.1;0.0;0.0;0.07;0.02;0.0;0.93;0.04;0.0;1.94;0.56;0.32;28.12;0.13;0.02;6.51
ZoneA_039.jpg;0;1139;1523;1229;1664;64.84;9.62;13.66;23.61;2.36;153.09;0.704;66.98;0.735;5.507;2.0;2.0;1.7;1.33;1.74;1.64;2.39;2.56;2.17;0.3;0.09;15.25;0.67;0.44;33.31;0.26;0.07;12.77;0.36;0.13;17.84;0.39;0.15;19.46;0.56;0.32;28.12;0.17;0.03;8.67
